protein_ids,majority_protein_ids,fasta_header,mol_weight,score,intensity,intensity_abeta1,intensity_abeta2,intensity_abeta3,intensity_abeta4,intensity_veh1,intensity_veh2,intensity_veh3,intensity_veh4,ibaq,ibaq_abeta1,ibaq_abeta2,ibaq_abeta3,ibaq_abeta4,ibaq_veh1,ibaq_veh2,ibaq_veh3,ibaq_veh4,lfq_intensity_abeta1,lfq_intensity_abeta2,lfq_intensity_abeta3,lfq_intensity_abeta4,lfq_intensity_veh1,lfq_intensity_veh2,lfq_intensity_veh3,lfq_intensity_veh4,msms_count_abeta1,msms_count_abeta2,msms_count_abeta3,msms_count_abeta4,msms_count_veh1,msms_count_veh2,msms_count_veh3,msms_count_veh4
tr|Q4KL81|Q4KL81_MOUSE;sp|P63260|ACTG_MOUSE;tr|Q3TSB7|Q3TSB7_MOUSE;tr|Q3UD81|Q3UD81_MOUSE;tr|B1ATY1|B1ATY1_MOUSE;tr|G3UYG0|G3UYG0_MOUSE,tr|Q4KL81|Q4KL81_MOUSE;sp|P63260|ACTG_MOUSE;tr|Q3TSB7|Q3TSB7_MOUSE;tr|Q3UD81|Q3UD81_MOUSE,"tr|Q4KL81|Q4KL81_MOUSE Actin, gamma, cytoplasmic 1 OS=Mus musculus OX=10090 GN=Actg1 PE=2 SV=1;sp|P63260|ACTG_MOUSE Actin, cytoplasmic 2 OS=Mus musculus OX=10090 GN=Actg1 PE=1 SV=1;tr|Q3TSB7|Q3TSB7_MOUSE Uncharacterized protein OS=Mus musculus OX=10090 GN=",41.792,323.31,1.31E+12,1.47E+11,1.45E+11,1.55E+11,2.00E+11,1.82E+11,1.24E+11,1.59E+11,1.95E+11,65266000000,7333800000,7230700000,7742500000,9982000000,9101600000,6186500000,7948900000,9740100000,1.50E+11,1.36E+11,1.19E+11,1.51E+11,1.56E+11,1.31E+11,1.25E+11,1.47E+11,389,428,403,450,443,395,415,431
sp|Q9JHU4|DYHC1_MOUSE;tr|Q80U36|Q80U36_MOUSE;tr|Q8C6T5|Q8C6T5_MOUSE;tr|Q3TAZ3|Q3TAZ3_MOUSE;tr|F6ZX84|F6ZX84_MOUSE;tr|Q923F5|Q923F5_MOUSE;tr|Q3UA73|Q3UA73_MOUSE;tr|O08821|O08821_MOUSE;tr|O70182|O70182_MOUSE,sp|Q9JHU4|DYHC1_MOUSE,sp|Q9JHU4|DYHC1_MOUSE Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus OX=10090 GN=Dync1h1 PE=1 SV=2,532.04,323.31,41114000000,4366100000,4409000000,4865000000,6439400000,4994300000,4129700000,5467800000,6442800000,158740000,16858000,17023000,18784000,24863000,19283000,15945000,21111000,24876000,4735600000,4448100000,4263000000,5314200000,4838400000,4575700000,4388900000,5132800000,345,296,306,331,323,310,329,325
sp|Q8VDD5|MYH9_MOUSE;tr|Q3UFT0|Q3UFT0_MOUSE;tr|Q811J9|Q811J9_MOUSE;tr|Q99JJ3|Q99JJ3_MOUSE;tr|Q7TQJ6|Q7TQJ6_MOUSE;tr|A0A2R8VKI5|A0A2R8VKI5_MOUSE;tr|A2VCK0|A2VCK0_MOUSE;tr|Q8BIE2|Q8BIE2_MOUSE;tr|Q8BWI3|Q8BWI3_MOUSE;tr|Q8BIM8|Q8BIM8_MOUSE;tr|Q14B05|Q14B05_MOUSE;tr|F2Z494|F2Z494_MOUSE;tr|A0A2R8W6V7|A0A2R8W6V7_MOUSE;tr|O89055|O89055_MOUSE;tr|Q6PB65|Q6PB65_MOUSE;tr|Q4KMN4|Q4KMN4_MOUSE;tr|Q8BXF2|Q8BXF2_MOUSE;tr|Q8BLW0|Q8BLW0_MOUSE;tr|Q3UUB1|Q3UUB1_MOUSE;tr|Q3UQQ3|Q3UQQ3_MOUSE;tr|Q5BKR0|Q5BKR0_MOUSE;tr|Q6P8P3|Q6P8P3_MOUSE;sp|A2AQP0|MYH7B_MOUSE,sp|Q8VDD5|MYH9_MOUSE;tr|Q3UFT0|Q3UFT0_MOUSE,sp|Q8VDD5|MYH9_MOUSE Myosin-9 OS=Mus musculus OX=10090 GN=Myh9 PE=1 SV=4;tr|Q3UFT0|Q3UFT0_MOUSE Uncharacterized protein (Fragment) OS=Mus musculus OX=10090 GN=Myh9 PE=2 SV=1,226.37,323.31,88421000000,9657100000,9698600000,11639000000,12021000000,11977000000,9590900000,11431000000,12406000000,850200000,92857000,93256000,111910000,115590000,115160000,92220000,109910000,119290000,10464000000,9434700000,9408300000,9524800000,11219000000,10756000000,9417200000,9624100000,340,338,354,343,384,350,325,367
tr|Q71LX8|Q71LX8_MOUSE;sp|P11499|HS90B_MOUSE;tr|Q811H6|Q811H6_MOUSE;tr|E9Q3D6|E9Q3D6_MOUSE;tr|E9Q0C3|E9Q0C3_MOUSE;tr|E9PX27|E9PX27_MOUSE;tr|D3Z1R1|D3Z1R1_MOUSE;tr|Q922F6|Q922F6_MOUSE,tr|Q71LX8|Q71LX8_MOUSE;sp|P11499|HS90B_MOUSE;tr|Q811H6|Q811H6_MOUSE,tr|Q71LX8|Q71LX8_MOUSE Heat shock protein 84b OS=Mus musculus OX=10090 GN=Hsp90ab1 PE=1 SV=1;sp|P11499|HS90B_MOUSE Heat shock protein HSP 90-beta OS=Mus musculus OX=10090 GN=Hsp90ab1 PE=1 SV=3;tr|Q811H6|Q811H6_MOUSE Hsp90ab1 protein (Fragment) OS=Mus muscu,83.28,323.31,5.44E+11,60418000000,56605000000,64407000000,81633000000,72352000000,58040000000,71100000000,79925000000,16499000000,1830900000,1715300000,1951700000,2473700000,2192500000,1758800000,2154500000,2422000000,67060000000,54884000000,52931000000,63905000000,66722000000,65602000000,57891000000,64691000000,328,332,304,365,355,332,341,360
tr|Q3UBA6|Q3UBA6_MOUSE;tr|Q3TEK2|Q3TEK2_MOUSE;sp|P63017|HSP7C_MOUSE;tr|Q504P4|Q504P4_MOUSE;tr|Q3TH56|Q3TH56_MOUSE;tr|Q3U9L2|Q3U9L2_MOUSE;tr|Q3TQ13|Q3TQ13_MOUSE;tr|Q3TF16|Q3TF16_MOUSE;tr|Q3ULM1|Q3ULM1_MOUSE;tr|Q3TRH3|Q3TRH3_MOUSE;tr|Q3TZJ3|Q3TZJ3_MOUSE;tr|Q3KQJ4|Q3KQJ4_MOUSE;tr|Q3UDS0|Q3UDS0_MOUSE;tr|Q3TB63|Q3TB63_MOUSE;tr|Q3TH04|Q3TH04_MOUSE;tr|Q3UXU1|Q3UXU1_MOUSE;tr|Q3UBR0|Q3UBR0_MOUSE;tr|B7U582|B7U582_MOUSE;sp|P17156|HSP72_MOUSE;tr|D3Z5E2|D3Z5E2_MOUSE;tr|A1E2B8|A1E2B8_MOUSE;tr|Q9QZ38|Q9QZ38_MOUSE;tr|Q61698|Q61698_MOUSE;tr|Q9QWU1|Q9QWU1_MOUSE;tr|O88688|O88688_MOUSE;tr|Q91ZU5|Q91ZU5_MOUSE;tr|Q91ZU4|Q91ZU4_MOUSE;tr|O88687|O88687_MOUSE,tr|Q3UBA6|Q3UBA6_MOUSE;tr|Q3TEK2|Q3TEK2_MOUSE;sp|P63017|HSP7C_MOUSE;tr|Q504P4|Q504P4_MOUSE;tr|Q3TH56|Q3TH56_MOUSE;tr|Q3U9L2|Q3U9L2_MOUSE;tr|Q3TQ13|Q3TQ13_MOUSE;tr|Q3TF16|Q3TF16_MOUSE;tr|Q3ULM1|Q3ULM1_MOUSE;tr|Q3TRH3|Q3TRH3_MOUSE;tr|Q3TZJ3|Q3TZJ3_MOUSE;tr|Q3KQJ4|Q3KQJ4_MOUSE;tr|Q3UDS0|Q3UDS0_MOUSE;tr|Q3TB63|Q3TB63_MOUSE;tr|Q3TH04|Q3TH04_MOUSE;tr|Q3UXU1|Q3UXU1_MOUSE,tr|Q3UBA6|Q3UBA6_MOUSE Uncharacterized protein OS=Mus musculus OX=10090 GN=Hspa8 PE=2 SV=1;tr|Q3TEK2|Q3TEK2_MOUSE Uncharacterized protein OS=Mus musculus OX=10090 GN=Hspa8 PE=2 SV=1;sp|P63017|HSP7C_MOUSE Heat shock cognate 71 kDa protein OS=Mus musculus OX,70.898,323.31,6.48E+11,71735000000,68745000000,81453000000,93758000000,85739000000,66399000000,86282000000,94273000000,19648000000,2173800000,2083200000,2468300000,2841200000,2598100000,2012100000,2614600000,2856700000,76203000000,66152000000,67566000000,72067000000,79834000000,74325000000,70636000000,75443000000,322,353,337,348,366,338,339,352
sp|Q9QXS1|PLEC_MOUSE;tr|Q6S388|Q6S388_MOUSE;tr|Q6S392|Q6S392_MOUSE;tr|Q6S387|Q6S387_MOUSE;tr|Q6S385|Q6S385_MOUSE;tr|Q6S390|Q6S390_MOUSE;tr|E9Q3W4|E9Q3W4_MOUSE;tr|A0A0R4J218|A0A0R4J218_MOUSE;tr|Q499F9|Q499F9_MOUSE;tr|Q05CR3|Q05CR3_MOUSE;tr|A0A0R4J223|A0A0R4J223_MOUSE;tr|Q8C8S5|Q8C8S5_MOUSE;tr|E9Q9J6|E9Q9J6_MOUSE;tr|A0A0R4J221|A0A0R4J221_MOUSE;tr|E9PW24|E9PW24_MOUSE;tr|Q923J2|Q923J2_MOUSE,sp|Q9QXS1|PLEC_MOUSE;tr|Q6S388|Q6S388_MOUSE;tr|Q6S392|Q6S392_MOUSE;tr|Q6S387|Q6S387_MOUSE;tr|Q6S385|Q6S385_MOUSE;tr|Q6S390|Q6S390_MOUSE;tr|E9Q3W4|E9Q3W4_MOUSE,sp|Q9QXS1|PLEC_MOUSE Plectin OS=Mus musculus OX=10090 GN=Plec PE=1 SV=3;tr|Q6S388|Q6S388_MOUSE Plectin 7 OS=Mus musculus OX=10090 GN=Plec PE=2 SV=1;tr|Q6S392|Q6S392_MOUSE Plectin 3 OS=Mus musculus OX=10090 GN=Plec PE=2 SV=1;tr|Q6S387|Q6S387_MOUSE Plectin 8,534.18,323.31,44912000000,4785600000,5742300000,6915700000,4816900000,6230900000,5410500000,6056600000,4953900000,153810000,16389000,19665000,23684000,16496000,21339000,18529000,20742000,16965000,5393400000,5493300000,5549600000,4533900000,5830400000,5928200000,5121600000,4591300000,321,352,356,292,371,371,339,302
tr|Q58E64|Q58E64_MOUSE;tr|Q3UA81|Q3UA81_MOUSE;sp|P10126|EF1A1_MOUSE;tr|D3YZ68|D3YZ68_MOUSE;tr|D3Z3I8|D3Z3I8_MOUSE;sp|P62631|EF1A2_MOUSE;tr|Q4FZE5|Q4FZE5_MOUSE,tr|Q58E64|Q58E64_MOUSE;tr|Q3UA81|Q3UA81_MOUSE;sp|P10126|EF1A1_MOUSE;tr|D3YZ68|D3YZ68_MOUSE;tr|D3Z3I8|D3Z3I8_MOUSE,tr|Q58E64|Q58E64_MOUSE Elongation factor 1-alpha OS=Mus musculus OX=10090 GN=Eef1a1 PE=1 SV=1;tr|Q3UA81|Q3UA81_MOUSE Elongation factor 1-alpha OS=Mus musculus OX=10090 GN=Eef1a1 PE=2 SV=1;sp|P10126|EF1A1_MOUSE Elongation factor 1-alpha 1 OS=Mus musculus OX,50.113,323.31,6.86E+11,92204000000,80114000000,83358000000,96400000000,85404000000,66278000000,90188000000,91670000000,32648000000,4390700000,3815000000,3969400000,4590500000,4066900000,3156100000,4294700000,4365200000,85303000000,87063000000,63109000000,75930000000,75589000000,72149000000,72443000000,73668000000,295,312,272,304,300,295,290,315
tr|B7FAU9|B7FAU9_MOUSE;sp|Q8BTM8|FLNA_MOUSE;tr|B7FAV1|B7FAV1_MOUSE;tr|B9EKP5|B9EKP5_MOUSE;tr|Q6KAM8|Q6KAM8_MOUSE;tr|Q3U7N9|Q3U7N9_MOUSE;tr|F6XC15|F6XC15_MOUSE;tr|Q4FZG4|Q4FZG4_MOUSE;tr|J3JS91|J3JS91_MOUSE;tr|I7HPX4|I7HPX4_MOUSE;tr|F6Z2C0|F6Z2C0_MOUSE;tr|Q9JJ37|Q9JJ37_MOUSE;tr|F7AVL7|F7AVL7_MOUSE,tr|B7FAU9|B7FAU9_MOUSE;sp|Q8BTM8|FLNA_MOUSE;tr|B7FAV1|B7FAV1_MOUSE;tr|B9EKP5|B9EKP5_MOUSE;tr|Q6KAM8|Q6KAM8_MOUSE,"tr|B7FAU9|B7FAU9_MOUSE Filamin, alpha OS=Mus musculus OX=10090 GN=Flna PE=1 SV=1;sp|Q8BTM8|FLNA_MOUSE Filamin-A OS=Mus musculus OX=10090 GN=Flna PE=1 SV=5;tr|B7FAV1|B7FAV1_MOUSE Filamin, alpha (Fragment) OS=Mus musculus OX=10090 GN=Flna PE=1 SV=1;tr|B9EKP5",280.5,323.31,75778000000,7596000000,7083800000,12335000000,8511500000,13257000000,10565000000,7619100000,8811300000,561320000,56266000,52473000,91370000,63048000,98196000,78257000,56438000,65269000,9819300000,8413100000,7741700000,8679600000,10225000000,9547300000,7510900000,8990700000,288,268,255,273,273,263,249,279
sp|P52480|KPYM_MOUSE;tr|A0A1L1SU37|A0A1L1SU37_MOUSE;tr|A0A1L1SQV8|A0A1L1SQV8_MOUSE;tr|A0A1L1SSN6|A0A1L1SSN6_MOUSE;tr|A0A1L1STV8|A0A1L1STV8_MOUSE;tr|A0A1L1SUV0|A0A1L1SUV0_MOUSE;tr|A0A1L1ST52|A0A1L1ST52_MOUSE;tr|A0A1L1SVH2|A0A1L1SVH2_MOUSE,sp|P52480|KPYM_MOUSE,sp|P52480|KPYM_MOUSE Pyruvate kinase PKM OS=Mus musculus OX=10090 GN=Pkm PE=1 SV=4,57.844,323.31,3.36E+11,38344000000,36914000000,38339000000,49468000000,45199000000,32113000000,45180000000,50632000000,10188000000,1161900000,1118600000,1161800000,1499000000,1369700000,973110000,1369100000,1534300000,38847000000,36493000000,31829000000,39054000000,41906000000,36883000000,36719000000,43137000000,282,252,229,261,256,239,238,262
sp|P19096|FAS_MOUSE;tr|A0A0U1RNJ1|A0A0U1RNJ1_MOUSE;tr|Q3UHT6|Q3UHT6_MOUSE;tr|Q3TB22|Q3TB22_MOUSE;tr|O89060|O89060_MOUSE;tr|A0A0U1RPP5|A0A0U1RPP5_MOUSE,sp|P19096|FAS_MOUSE;tr|A0A0U1RNJ1|A0A0U1RNJ1_MOUSE;tr|Q3UHT6|Q3UHT6_MOUSE;tr|Q3TB22|Q3TB22_MOUSE,sp|P19096|FAS_MOUSE Fatty acid synthase OS=Mus musculus OX=10090 GN=Fasn PE=1 SV=2;tr|A0A0U1RNJ1|A0A0U1RNJ1_MOUSE Fatty acid synthase OS=Mus musculus OX=10090 GN=Fasn PE=1 SV=1;tr|Q3UHT6|Q3UHT6_MOUSE Uncharacterized protein OS=Mus musculus OX=10090 GN=Fasn,272.43,323.31,80056000000,8386200000,7962800000,8589500000,13169000000,11017000000,7353200000,10025000000,13553000000,678440000,71070000,67481000,72792000,111600000,93364000,62315000,84958000,114860000,9991300000,7603800000,7236400000,10385000000,10470000000,8135100000,7887100000,10594000000,279,270,262,302,279,260,262,307
